VOC,NOX,24NOX,M1M1O3
12,5,10.74906436,112.9965357
12,6,13.41786371,119.5995052
12,7,16.66702353,122.7129441
12,8,21.0467698,119.2452924
12,9,27.2152673,105.5402458
12,10,35.52195466,87.17760573
12,11,46.16500253,68.78416037
12,12,58.85437318,52.45085149
12,13,72.33561945,39.41610964
12,14,85.02887842,29.64379122
12,15,95.90648933,23.51733596
12,16,106.0984436,19.41638964
12,17,116.0056789,16.42565984
12,18,125.718897,14.17039456
12,19,135.2899959,12.42561109
12,20,144.7561527,11.04411471
12,21,154.1372694,9.93039937
12,22,163.4544462,9.015041938
12,23,172.715269,8.253710756
12,24,181.9301433,7.611651511
12,25,191.1095858,7.062910407
12,26,200.2513167,6.592174803
12,27,209.3677546,6.182328743
12,28,218.4599758,5.828880352
12,29,227.5328599,5.53012143
12,30,236.5812075,5.265819066
12,31,245.6119369,5.03063539
12,32,254.618539,4.820542721
12,33,263.6114146,4.632218788
12,34,272.5911843,4.462857384
12,35,281.5505703,4.310634522
12,36,290.4946732,4.173258945
12,37,299.4241397,4.048992222
12,38,308.3388017,3.937034735
12,39,317.2348166,3.835884045
12,40,326.1122016,3.744727853
12,41,334.9748566,3.662291473
12,42,343.8224819,3.587786149
12,43,352.6515721,3.520896921
12,44,361.4633172,3.460854208
12,45,370.2570887,3.407065137
12,46,379.0310569,3.359180507
12,47,387.786196,3.31669447
12,48,396.5197758,3.279227734
12,49,405.2368371,3.246384028
12,50,413.9316768,3.217831171
13,1,2.092155015,46.26841589
13,2,4.097556672,71.40246224
13,3,6.119312927,90.00031557
13,4,8.227885753,104.516352
13,5,10.485412,115.8202432
13,6,12.98175383,123.9595419
13,7,15.88532104,128.828938
13,8,19.5439117,129.3520708
13,9,24.53280559,121.8533365
13,10,31.33911175,105.7339956
13,11,40.23718514,87.31093968
13,12,51.43639289,69.19957563
13,13,64.57366271,53.16277253
13,14,78.3425133,40.31599933
13,15,91.13658806,30.63103367
13,16,102.0317187,24.53053277
13,17,112.2459076,20.38415909
13,18,122.1795704,17.3251923
13,19,131.9204163,14.99936277
13,20,141.5175669,13.18923066
13,21,151.0041167,11.74995771
13,22,160.409261,10.58106901
13,23,169.7489976,9.617901637
13,24,179.0285259,8.815186291
13,25,188.2656142,8.134587026
13,26,197.459232,7.554563683
13,27,206.6223278,7.05271589
13,28,215.7541245,6.616590813
13,29,224.8604575,6.233528262
13,30,233.9455259,5.908458957
13,31,243.0077274,5.625590246
13,32,252.0512654,5.373263199
13,33,261.0791935,5.147130545
13,34,270.0874254,4.944071081
13,35,279.0777599,4.761179764
13,36,288.0519272,4.596168835
13,37,297.0110605,4.446789865
13,38,305.9545645,4.311556641
13,39,314.886045,4.188469979
13,40,323.7987933,4.07717783
13,41,332.6946112,3.976193699
13,42,341.5776437,3.884521375
13,43,350.44245,3.801381388
13,44,359.2924452,3.72599132
13,45,368.1186444,3.658056431
13,46,376.938549,3.596198124
13,47,385.7352625,3.54075696
13,48,394.5159626,3.490956216
13,49,403.2773062,3.446428224
13,50,412.0182848,3.406767559
14,1,2.070673428,46.301728
14,2,4.048371043,71.76601398
14,3,6.030920869,90.86047487
14,4,8.08518466,106.0136613
14,5,10.26319105,118.1437053
14,6,12.63233255,127.468912
14,7,15.30571464,133.5887227
14,8,18.50335936,136.8004094
14,9,22.63718578,134.3674925
14,10,28.22491693,122.7671171
14,11,35.61584702,105.7705513
14,12,45.0744034,87.40496773
14,13,56.80773346,69.55306758
14,14,70.36925531,53.78545627
14,15,84.40218101,41.11735078
14,16,97.26953371,31.53547187
14,17,108.1755245,25.47151079
14,18,118.4078178,21.29404233
14,19,128.3644596,18.18042387
14,20,138.125453,15.79620326
14,21,147.7449079,13.92753699
14,22,157.2569741,12.43119235
14,23,166.6814856,11.21388712
14,24,176.0402482,10.20622998
14,25,185.3399517,9.363097252
14,26,194.5950937,8.647490941
14,27,203.8061519,8.035337847
14,28,212.9870313,7.504797952
14,29,222.1352508,7.042626284
14,30,231.2575413,6.636580467
14,31,240.3573489,6.27958104
14,32,249.4340503,5.979187274
14,33,258.4909273,5.71040117
14,34,267.5299634,5.469533758
14,35,276.5525612,5.252584761
14,36,285.5531372,5.056805308
14,37,294.5413171,4.879339186
14,38,303.5167221,4.718442328
14,39,312.4719626,4.572219245
14,40,321.4200768,4.438857581
14,41,330.3466417,4.317849145
14,42,339.2576127,4.207532897
14,43,348.1538028,4.107017899
14,44,357.0350635,4.015450808
14,45,365.9002037,3.932003393
14,46,374.7523867,3.856070803
14,47,383.5863229,3.786894375
